master,object,X_cm,Y_cm,Z_cm,yaw_deg,pitch_deg,roll_deg,scale_x,scale_y,scale_z
KRM_M00_Cube,Foundation,0.0,-42.0,0.0,-0.0,0.0,-0.0,32.4,28.4,0.4
KRM_M00_Cube,Rear palace wall,0.0,0.0,1400.0,-0.0,0.0,-0.0,32.0,0.45,12.0
KRM_M00_Cube,Lateral palace wall,-1600.0,0.0,-300.0,-0.0,0.0,-0.0,0.45,22.0,12.0
KRM_M00_Cube,Wing portal lintel,-1600.0,600.0,1100.0,-0.0,0.0,-0.0,0.45,6.0,6.0
KRM_M00_Cube,Lateral palace wall.001,1600.0,0.0,-300.0,-0.0,0.0,-0.0,0.45,22.0,12.0
KRM_M00_Cube,Wing portal lintel.001,1600.0,600.0,1100.0,-0.0,0.0,-0.0,0.45,6.0,6.0
KRM_M00_Cube,Upper promenade,-1370.0,480.0,0.0,-0.0,0.0,-0.0,4.6,28.0,0.3
KRM_M00_Cube,Upper promenade.001,1370.0,480.0,0.0,-0.0,0.0,-0.0,4.6,28.0,0.3
KRM_M00_Cube,Rear landing,0.0,480.0,1110.0,-0.0,0.0,-0.0,23.0,5.8,0.3
KRM_M00_Cube,Wing marble floor,-2300.0,-24.0,1100.0,-0.0,0.0,-0.0,14.0,6.0,0.24
KRM_M00_Cube,Wing outer wall,-2300.0,0.0,1400.0,-0.0,0.0,-0.0,14.0,0.3,6.0
KRM_M00_Cube,Wing front wall,-2300.0,0.0,800.0,-0.0,0.0,-0.0,14.0,0.3,6.0
KRM_M00_Cube,Wing end wall,-3000.0,0.0,1100.0,-0.0,0.0,-0.0,0.3,6.0,6.0
KRM_M00_Cube,Square pedestal.020,-1625.0,0.0,1350.0,-0.0,0.0,-0.0,0.92,0.92,0.36
KRM_M00_Cube,Wing marble floor.001,2300.0,-24.0,1100.0,-0.0,0.0,-0.0,14.0,6.0,0.24
KRM_M00_Cube,Wing outer wall.001,2300.0,0.0,1400.0,-0.0,0.0,-0.0,14.0,0.3,6.0
KRM_M00_Cube,Wing front wall.001,2300.0,0.0,800.0,-0.0,0.0,-0.0,14.0,0.3,6.0
KRM_M00_Cube,Wing end wall.001,3000.0,0.0,1100.0,-0.0,0.0,-0.0,0.3,6.0,6.0
KRM_M00_Cube,Forehall | Foundation,0.0,-42.0,-2800.0,-0.0,0.0,-0.0,32.4,28.4,0.4
KRM_M00_Cube,Forehall | Upper promenade,-1370.0,480.0,-2800.0,-0.0,0.0,-0.0,4.6,28.0,0.3
KRM_M00_Cube,Forehall | Upper promenade.001,1370.0,480.0,-2800.0,-0.0,0.0,-0.0,4.6,28.0,0.3
KRM_M01_Cube.001,Rear cornice,0.0,18.5,1365.0,-0.0,0.0,-0.0,32.0,0.3,0.13
KRM_M01_Cube.001,Lateral cornice,-1565.0,18.5,-260.0,-0.0,0.0,-0.0,0.3,22.8,0.13
KRM_M01_Cube.001,Lateral cornice.001,1565.0,18.5,-260.0,-0.0,0.0,-0.0,0.3,22.8,0.13
KRM_M01_Cube.001,Rear cornice.001,0.0,468.5,1365.0,-0.0,0.0,-0.0,32.0,0.3,0.13
KRM_M01_Cube.001,Lateral cornice.002,-1565.0,468.5,0.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Lateral cornice.003,1565.0,468.5,0.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Rear cornice.002,0.0,503.5,1365.0,-0.0,0.0,-0.0,32.0,0.3,0.13
KRM_M01_Cube.001,Lateral cornice.004,-1565.0,503.5,0.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Lateral cornice.005,1565.0,503.5,0.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Rear cornice.003,0.0,1073.5,1365.0,-0.0,0.0,-0.0,32.0,0.3,0.13
KRM_M01_Cube.001,Lateral cornice.006,-1565.0,1073.5,0.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Lateral cornice.007,1565.0,1073.5,0.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Rear cornice.004,0.0,1153.5,1365.0,-0.0,0.0,-0.0,32.0,0.3,0.13
KRM_M01_Cube.001,Lateral cornice.008,-1565.0,1153.5,0.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Lateral cornice.009,1565.0,1153.5,0.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Rear cornice.005,0.0,1193.5,1365.0,-0.0,0.0,-0.0,32.0,0.3,0.13
KRM_M01_Cube.001,Lateral cornice.010,-1565.0,1193.5,0.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Lateral cornice.011,1565.0,1193.5,0.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Window vertical gold mullion,-300.0,170.0,1350.0,-0.0,0.0,-0.0,0.075,0.1,10.0
KRM_M01_Cube.001,Window vertical gold mullion.001,-200.0,170.0,1350.0,-0.0,0.0,-0.0,0.075,0.1,10.0
KRM_M01_Cube.001,Window vertical gold mullion.002,-100.0,170.0,1350.0,-0.0,0.0,-0.0,0.075,0.1,10.0
KRM_M01_Cube.001,Window vertical gold mullion.003,0.0,170.0,1350.0,-0.0,0.0,-0.0,0.075,0.1,10.0
KRM_M01_Cube.001,Window vertical gold mullion.004,100.0,170.0,1350.0,-0.0,0.0,-0.0,0.075,0.1,10.0
KRM_M01_Cube.001,Window vertical gold mullion.005,200.0,170.0,1350.0,-0.0,0.0,-0.0,0.075,0.1,10.0
KRM_M01_Cube.001,Window vertical gold mullion.006,300.0,170.0,1350.0,-0.0,0.0,-0.0,0.075,0.1,10.0
KRM_M01_Cube.001,Window horizontal mullion,0.0,166.75,1348.0,-0.0,0.0,-0.0,6.0,0.1,0.065
KRM_M01_Cube.001,Window horizontal mullion.001,0.0,266.75,1348.0,-0.0,0.0,-0.0,6.0,0.1,0.065
KRM_M01_Cube.001,Window horizontal mullion.002,0.0,366.75,1348.0,-0.0,0.0,-0.0,6.0,0.1,0.065
KRM_M01_Cube.001,Window horizontal mullion.003,0.0,466.75,1348.0,-0.0,0.0,-0.0,6.0,0.1,0.065
KRM_M01_Cube.001,Window horizontal mullion.004,0.0,566.75,1348.0,-0.0,0.0,-0.0,6.0,0.1,0.065
KRM_M01_Cube.001,Window horizontal mullion.005,0.0,666.75,1348.0,-0.0,0.0,-0.0,6.0,0.1,0.065
KRM_M01_Cube.001,Window horizontal mullion.006,0.0,766.75,1348.0,-0.0,0.0,-0.0,6.0,0.1,0.065
KRM_M01_Cube.001,Window horizontal mullion.007,0.0,866.75,1348.0,-0.0,0.0,-0.0,6.0,0.1,0.065
KRM_M01_Cube.001,Window horizontal mullion.008,0.0,966.75,1348.0,-0.0,0.0,-0.0,6.0,0.1,0.065
KRM_M01_Cube.001,Window horizontal mullion.009,0.0,1066.75,1348.0,-0.0,0.0,-0.0,6.0,0.1,0.065
KRM_M01_Cube.001,Window horizontal mullion.010,0.0,1166.75,1348.0,-0.0,0.0,-0.0,6.0,0.1,0.065
KRM_M01_Cube.001,Runner gold edge,-1200.0,513.75,0.0,-0.0,0.0,-0.0,0.05,27.5,0.025
KRM_M01_Cube.001,Runner gold edge.001,-1540.0,513.75,0.0,-0.0,0.0,-0.0,0.05,27.5,0.025
KRM_M01_Cube.001,Runner gold edge.002,1200.0,513.75,0.0,-0.0,0.0,-0.0,0.05,27.5,0.025
KRM_M01_Cube.001,Runner gold edge.003,1540.0,513.75,0.0,-0.0,0.0,-0.0,0.05,27.5,0.025
KRM_M01_Cube.001,Forehall | Lateral cornice,-1565.0,18.5,-2800.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Forehall | Lateral cornice.001,1565.0,18.5,-2800.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Forehall | Lateral cornice.002,-1565.0,468.5,-2800.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Forehall | Lateral cornice.003,1565.0,468.5,-2800.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Forehall | Lateral cornice.004,-1565.0,503.5,-2800.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Forehall | Lateral cornice.005,1565.0,503.5,-2800.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Forehall | Lateral cornice.006,-1565.0,1073.5,-2800.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Forehall | Lateral cornice.007,1565.0,1073.5,-2800.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Forehall | Lateral cornice.008,-1565.0,1153.5,-2800.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Forehall | Lateral cornice.009,1565.0,1153.5,-2800.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Forehall | Lateral cornice.010,-1565.0,1193.5,-2800.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Forehall | Lateral cornice.011,1565.0,1193.5,-2800.0,-0.0,0.0,-0.0,0.3,28.0,0.13
KRM_M01_Cube.001,Forehall | Runner gold edge,-1200.0,513.75,-2800.0,-0.0,0.0,-0.0,0.05,27.5,0.025
KRM_M01_Cube.001,Forehall | Runner gold edge.001,-1540.0,513.75,-2800.0,-0.0,0.0,-0.0,0.05,27.5,0.025
KRM_M01_Cube.001,Forehall | Runner gold edge.002,1200.0,513.75,-2800.0,-0.0,0.0,-0.0,0.05,27.5,0.025
KRM_M01_Cube.001,Forehall | Runner gold edge.003,1540.0,513.75,-2800.0,-0.0,0.0,-0.0,0.05,27.5,0.025
KRM_M01_Cube.001,Door-side cornice return L,-1565.0,18.5,1330.0,-0.0,0.0,-0.0,0.3,1.4,0.13
KRM_M01_Cube.001,Door-side cornice return R,1565.0,18.5,1330.0,-0.0,0.0,-0.0,0.3,1.4,0.13
KRM_M02_Cube.002,Central azure window,0.0,170.0,1369.0,-0.0,0.0,-0.0,6.0,0.12,10.0
KRM_M03_Cube.003,Sapphire gallery runner,-1370.0,510.25,0.0,-0.0,0.0,-0.0,3.5,27.5,0.035
KRM_M03_Cube.003,Sapphire gallery runner.001,1370.0,510.25,0.0,-0.0,0.0,-0.0,3.5,27.5,0.035
KRM_M03_Cube.003,Rear landing blue carpet,0.0,510.25,1120.0,-0.0,0.0,-0.0,22.0,4.9,0.035
KRM_M03_Cube.003,Forehall | Sapphire gallery runner,-1370.0,510.25,-2800.0,-0.0,0.0,-0.0,3.5,27.5,0.035
KRM_M03_Cube.003,Forehall | Sapphire gallery runner.001,1370.0,510.25,-2800.0,-0.0,0.0,-0.0,3.5,27.5,0.035
